chain,address,symbol,decimals,logoURI
ethereum,0xcBeD554Ad21B9dce19BDa9A57C3b62C9d3fF72e2,yDAI+yUSDC+yUSDT+yTUSD,18,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0xcBeD554Ad21B9dce19BDa9A57C3b62C9d3fF72e2/logo.png
ethereum,0xd6aD7a6750A7593E092a9B218d66C0A814a3436e,yUSDC,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0xd6aD7a6750A7593E092a9B218d66C0A814a3436e/logo.png
ethereum,0x83f798e925BcD4017Eb265844FDDAbb448f1707D,yUSDT,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x83f798e925BcD4017Eb265844FDDAbb448f1707D/logo.png
ethereum,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,yyDAI+yUSDC+yUSDT+yTUSD,18,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c/logo.png
smartchain,0x4f5d48D3d28Ff10113283A896952A7722Eaaacd8,aUSDC,8,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x4f5d48D3d28Ff10113283A896952A7722Eaaacd8/logo.png
smartchain,0x35b2a25087A4D33dADBFB7625bfa7f1e0853f723,aUSDT,8,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x35b2a25087A4D33dADBFB7625bfa7f1e0853f723/logo.png
smartchain,0x4268B8F0B87b6Eae5d897996E6b845ddbD99Adf3,axlUSDC,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x4268B8F0B87b6Eae5d897996E6b845ddbD99Adf3/logo.png
smartchain,0xD83C88DB3A6cA4a32FFf1603b0f7DDce01F5f727,crUSDC,8,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xD83C88DB3A6cA4a32FFf1603b0f7DDce01F5f727/logo.png
smartchain,0xEF6d459FE81C3Ed53d292c936b2df5a8084975De,crUSDT,8,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xEF6d459FE81C3Ed53d292c936b2df5a8084975De/logo.png
smartchain,0xEf11aB854b475Bd0c5Db37f6bFFAB443219d656d,fUSDT,18,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xEf11aB854b475Bd0c5Db37f6bFFAB443219d656d/logo.png
smartchain,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,18,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d/logo.png
smartchain,0xc1F47175d96Fe7c4cD5370552e5954f384E3C791,USDCav,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xc1F47175d96Fe7c4cD5370552e5954f384E3C791/logo.png
smartchain,0xB04906e95AB5D797aDA81508115611fee694c2b3,USDCet,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xB04906e95AB5D797aDA81508115611fee694c2b3/logo.png
smartchain,0x672147dD47674757C457eB155BAA382cc10705Dd,USDCpo,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x672147dD47674757C457eB155BAA382cc10705Dd/logo.png
smartchain,0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0,USDCso,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0/logo.png
smartchain,0x55d398326f99059fF775485246999027B3197955,USDT,18,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x55d398326f99059fF775485246999027B3197955/logo.png
smartchain,0x2B90E061a517dB2BbD7E39Ef7F733Fd234B494CA,USDTav,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x2B90E061a517dB2BbD7E39Ef7F733Fd234B494CA/logo.png
smartchain,0x524bC91Dc82d6b90EF29F76A3ECAaBAffFD490Bc,USDTet,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x524bC91Dc82d6b90EF29F76A3ECAaBAffFD490Bc/logo.png
smartchain,0x49d5cC521F75e13fa8eb4E89E9D381352C897c96,USDTso,6,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0x49d5cC521F75e13fa8eb4E89E9D381352C897c96/logo.png
smartchain,0xecA88125a5ADbe82614ffC12D0DB554E2e2867C8,vUSDC,8,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xecA88125a5ADbe82614ffC12D0DB554E2e2867C8/logo.png
smartchain,0xfD5840Cd36d94D7229439859C0112a4185BC0255,vUSDT,8,https://assets-cdn.trustwallet.com/blockchains/smartchain/assets/0xfD5840Cd36d94D7229439859C0112a4185BC0255/logo.png
